id,module,question,option_a,option_b,option_c,option_d,correct
116,MODULE  03: XỬ LÝ VĂN  BẢN  CƠ BẢN,Để sắp xếp các cửa sổ văn b ản trên màn hình Word theo thứ tự nào đó ta thực hiện như thế nào?,Vào Home/ Trong nhóm Window chọn kiểu sắp xếp thích hợp,Vào Review/ Trong nhóm Window chọn kiểu sắp xếp thích hợp,Vào View/ Trong nhóm Window chọn kiểu sắp xếp thích hợp,Vào Insert/ Trong nhóm Window chọn kiểu sắp xếp thích hợp,C
117,MODULE  03: XỬ LÝ VĂN  BẢN  CƠ BẢN,Để xóa một văn bản ta thực hiện?,Chọn văn bản cần xóa/ Click chuột/ Chọn Delete,Chọn văn bản cần xóa/ Click phải chuột/ Chọn Delete,Click phải chuột/ Chọn Delete,Chọn văn bản cần xóa/  Click phải chuột/ Chọn Remove,B
118,MODULE  03: XỬ LÝ VĂN  BẢN  CƠ BẢN,Để chọn (bôi đen) toàn bộ văn bản ta thực hiện:,Click chuột trái 3 lần liên tiếp tại lề phải văn bản,Click chuột phải 3 lần liên tiếp tại lề trên văn bản,Click chuột trái 3 lần liên tiếp tại lề dưới văn bản,Đưa con trỏ vào văn bản đang mở sau đó nhấn Ctrl +A,D
119,MODULE  03: XỬ LÝ VĂN  BẢN  CƠ BẢN,Để di chuyển đến một trang bất kì trong văn bản ta làm thế nào?,"Bấm tổ hợp phím Ctrl+F, trong mục Enter Page Number nhập số trang cần đến.","Bấm tổ hợp phím Ctrl+H, trong mục Enter Page Number nhập số trang cần đến.","Bấm tổ hợp phím Ctrl+G, trong mục Enter Page Number nhập số trang cần đến.","Bấm tổ hợp phím Ctrl+D, trong mục Enter Page Number nhập số trang cần đến.",C
120,MODULE  04: SỬ DỤNG  BẢNG  TÍNH  CƠ BẢN,Muốn tạo được dấu % từ bàn phím ta làm thế nào,Giữ phím Ctrl và ấn số 5,Ấn số 5,Giữ phím Alt và ấn số 5,Giữ phím Shift và ấn số 5,D
121,MODULE  04: SỬ DỤNG  BẢNG  TÍNH  CƠ BẢN,Microsoft Excel là công cụ dùng để:,Soạn thảo,Trình chiếu,Tính toán,Gửi thư,C
122,MODULE  04: SỬ DỤNG  BẢNG  TÍNH  CƠ BẢN,Phần mở rộng mặc định của tệp được tạo bằng Microsoft Ex cel 2016 là gì?,XLXS,XSLX,XXLS,XLSX,D
123,MODULE  04: SỬ DỤNG  BẢNG  TÍNH  CƠ BẢN,"Trong MS Excel, muốn nhờ chương trình giúp đỡ về một vấn đề gì đó, ta nhấn phím:",F1,F2,F3,F4,A
124,MODULE  04: SỬ DỤNG  BẢNG  TÍNH  CƠ BẢN,"Với cùng một nội dung, kích thước của tệp có phần mở rộng xls so với tệp có phần mở rộng xlsx như thế nào?",Kích thước 2 tệp bằng nhau,Tệp có phần mở rộng xls có kích thước nhỏ hơn so với tệp có phần mở rộng xlsx,Tệp có phần mở rộng xls có kích thước lớn hơn so với tệp có phần mở rộng xlsx,Tệp có phần mở rộng xls có kích thước lớn hơ n so với tệp có phần mở rộng xlsx 10 lần,C
125,MODULE  04: SỬ DỤNG  BẢNG  TÍNH  CƠ BẢN,Một trong những thuật ngữ sau không phải dùng để chỉ một thành phần của Excel?,WorkBook,WorkSheet,Workdocument,WorkSpace,C
126,MODULE  04: SỬ DỤNG  BẢNG  TÍNH  CƠ BẢN,"Trong Microsoft Excel, cách nào để mở một tệp Excel đã có trên máy tính?",Ctrl + M,Ctrl+N,Ctrl + W,Ctrl+O,D
127,MODULE  04: SỬ DỤNG  BẢNG  TÍNH  CƠ BẢN,"Trong Microsoft Excel, cách nào để mở một tệp Excel đã có trên máy tính?",Ctrl + M,Ctrl+N,Ctrl + W,Ctrl+O,D
128,MODULE  04: SỬ DỤNG  BẢNG  TÍNH  CƠ BẢN,"Trong Microsoft Excel, cách nào để đóng một tệp?",Ctrl+F4,Alt+F4,Shift+F4,F4,A
129,MODULE  04: SỬ DỤNG  BẢNG  TÍNH  CƠ BẢN,"Trong Microsoft Excel, cách nào để tạo mới một tệp?",Ctrl + O,Ctrl+N,Ctrl + M,Ctrl + W,B
130,MODULE  04: SỬ DỤNG  BẢNG  TÍNH  CƠ BẢN,"Trong Microsoft Excel, cách nào để lưu tệp hiện thời với tên mới?",F11,F10,F9,F12,D
131,MODULE  04: SỬ DỤNG  BẢNG  TÍNH  CƠ BẢN,"Trong Microsoft Excel, phương án nào dưới đây không phải là địa chỉ ô?",$12$A,$A$12,A$12,A12,A
132,MODULE  04: SỬ DỤNG  BẢNG  TÍNH  CƠ BẢN,"Trong Microsoft Excel, phương án nào dưới đây là địa chỉ tuyệt đối?",$A$12,$12$A,A$12$,A12,D
133,MODULE  04: SỬ DỤNG  BẢNG  TÍNH  CƠ BẢN,"Trong Microsoft Excel, phương án nào dưới đây là địa chỉ hỗn hợp?",$A12,$A$12,A12$,A12,A
134,MODULE  04: SỬ DỤNG  BẢNG  TÍNH  CƠ BẢN,"Trong cô ng thức của Microsoft Excel, sử dụng phím nào để chuyển đổi địa chỉ tuyệt đối sang địa chỉ tương đối hoặc ngược lại cho ô hoặc vùng đã chọn?",F3,F4,F2,F5,B
135,MODULE  04: SỬ DỤNG  BẢNG  TÍNH  CƠ BẢN,"Trong bảng tính Excel, vùng là tập hợp nhiều ô kế cận tạo thành hình chữ nhật, địa chỉ  vùng được thể hiện như câu nào sau đây là đúng?",B1...H15,B1-H15,B1..H15,B1:H15,D
136,MODULE  04: SỬ DỤNG  BẢNG  TÍNH  CƠ BẢN,"Trong MS Excel, giả sử tại ô B5 có công thức = A1+$B$2+C$3. Sau khi sao chép công thức đó từ ô B5 đến ô D8 sẽ có công thức:",= C1 + $B$2 + E$3,= A4 + $ B$2 + C$3,Báo lỗi,= C4 + $B$2 + E$3,D
137,MODULE  04: SỬ DỤNG  BẢNG  TÍNH  CƠ BẢN,Theo mặc định ký tự dạng ngày tháng sẽ được:,Canh đều hai bên,Canh bên phải ô,Canh bên trái ô,Canh giữa ô,B
138,MODULE  04: SỬ DỤNG  BẢNG  TÍNH  CƠ BẢN,Đáp án nào sau đây đúng? Khi nhập dữ liệu vào bảng tính Excel thì:,Dữ liệu kiểu số sẽ m ặc định căn lề trái,Dữ liệu kiểu ký tự sẽ mặc định căn lề trái,Dữ liệu kiểu thời gian sẽ mặc định căn lề trái,Dữ liệu kiểu ngày tháng sẽ mặc định căn lề trái,B
139,MODULE  04: SỬ DỤNG  BẢNG  TÍNH  CƠ BẢN,Các kiểu dữ liệu thông dụng của Excel là :,"Kiểu chuỗi, kiểu số, kiểu lôgic, kiểu ngày t háng, kiểu công thức","Kiểu số, kiểu lôgic, kiểu ngày tháng","Kiểu chuỗi, kiểu văn bản, kiểu ngày tháng","Kiểu công thức, kiểu hàm, kiểu số, kiểu ngày tháng",A
140,MODULE  04: SỬ DỤNG  BẢNG  TÍNH  CƠ BẢN,Để chọn toàn bộ các ô trên bảng tính bằng tổ hợp phím ta nhấn:,Ctrl + Alt,Ctrl + A,Ctrl + Alt +Space,Ctrl + Alt + Shift,B
141,MODULE  04: SỬ DỤNG  BẢNG  TÍNH  CƠ BẢN,"Để chọn nhiều vùng trong MS Excel, khi chọn ta nhấn phím:",Shift,Esc,Ctrl,Alt,C
142,MODULE  04: SỬ DỤNG  BẢNG  TÍNH  CƠ BẢN,Tổ hợp phím Shift + một trong bốn phím mũi tên thực hiện chức năng gì?,Bôi đen (Chọn),Di chuyển con trỏ,Không thực hiện chức năng nào,Xóa dữ liệu,A
143,MODULE  04: SỬ DỤNG  BẢNG  TÍNH  CƠ BẢN,Để hủy kết quả vừa làm ta chọn:,Redo,Back,Delete,Undo,D
144,MODULE  04: SỬ DỤNG  BẢNG  TÍNH  CƠ BẢN,"Trong bảng tính Excel, để sửa dữ liệu trong một ô tính mà không cần nhập lại, ta thực hiện:",F2,F3,F4,F5,A
145,MODULE  04: SỬ DỤNG  BẢNG  TÍNH  CƠ BẢN,"Để nhanh  chóng xem các thí sinh xếp loại ""xuất sắc"", ta bôi đen toàn bộ vùng có chứa dữ liệu cần xem rồi sử dụng công cụ gì trong số các công cụ sau","Vào menu Data, chọn Filter - Autofilter","Vào menu View, chọn mức ""xuất sắc""","Vào menu Data, chọn Validati on","Vào menu Tools, chọn Quick view, chọn mức ""xuất sắc""",A
146,MODULE  04: SỬ DỤNG  BẢNG  TÍNH  CƠ BẢN,Trong Excel muốn sắp xếp dữ liệu sau khi quét khối phần dữ liệu muốn sắp xếp ta chọn?,Data --> Filter…,Data --> Index…,Data --> Sort…,Data --> Form…,C
147,MODULE  04: SỬ DỤNG  BẢNG  TÍNH  CƠ BẢN,"Tại D2 có công thức ""=B1+C1"", kh i sao chép sang ô E2 thì E2 có công thức là:",=C1+D1,=B1+D1,=C1+D2,=C2+D2,A
148,MODULE  04: SỬ DỤNG  BẢNG  TÍNH  CƠ BẢN,"Trong bảng tính Excel, tại ô A2 có sẵn dãy kí tự ""1Angiang2"". Nếu sử dụng sao chép công thức để điền dữ liệu đến các cột B2, C2, D2, E2; thì kết quả nhận được tại ô E 2 là:",5Angiang6,5Angiang2,1Angiang6,1Angiang2,C
149,MODULE  04: SỬ DỤNG  BẢNG  TÍNH  CƠ BẢN,"Trong bảng tính Excel, tại ô A2 có sẵn giá trị dãy kí tự ""1 Angiang 2"". Nếu sử dụng sao chép công thức để điền dữ liệu đến các ô B2, C2, D2, E2 ; thì kết quả nhận được tại ô E2 là:",1 Angiang  2,1 Angiang 6,2 Angiang 2,5 Angiang 2,D
150,MODULE  04: SỬ DỤNG  BẢNG  TÍNH  CƠ BẢN,Để di chuyển vùng dữ liệu từ nơi này sang nơi khác ta nhấn:,Ctrl + p,Ctrl + v,Ctrl + x,Ctrl + c,C
151,MODULE  04: SỬ DỤNG  BẢNG  TÍNH  CƠ BẢN,"Để xoá một cột, bôi đen cột và chọn?",Insert \Delete \Delete Sheet Rows,Insert \Delete \Worksheet,Home \Delete \Clear,Home \Delete \Delete Sheet Columns,D
152,MODULE  04: SỬ DỤNG  BẢNG  TÍNH  CƠ BẢN,"Để xoá một hàng, bôi đen hàng và chọn?",Home \Delete \Delete Sheet Rows,Home \Delete \Delete Sheet Columns,Home \Delete \Clear,Insert \Delete \Worksheet,A
153,MODULE  04: SỬ DỤNG  BẢNG  TÍNH  CƠ BẢN,Giả sử đã bôi đen  một hàng trong Excel. Lệnh nào trong số các lệnh sau cho phép chèn thêm một hàng vào vị trí phía trên hàng đang chọn.,"Vào thực đơn Insert, chọn Cells","Vào thực đơn Insert, chọn Rows.","Vào thực đơn Insert, chọn Columns","Vào thực đơn Insert, c họn Object",B
154,MODULE  04: SỬ DỤNG  BẢNG  TÍNH  CƠ BẢN,"Để thay đổi độ rộng của cột, ta thực hiện chức năng nào?",Home \Format \Row Height,Home \Format \Column Width,Home \Format \AutoFit Row Height,Home \Format \AutoFit Column Width,B
155,MODULE  04: SỬ DỤNG  BẢNG  TÍNH  CƠ BẢN,"Trong bảng tính MS Excel 2016, để giữ cố định hàng hoặc cộ t trong cửa sổ soạn thảo, ta đánh dấu hàng hoặc cột, chọn:",Thẻ Review – Freeze Panes,Thẻ View – Freeze Panes,Thẻ Page Layout – Freeze Panes,Thẻ Home – Freeze Panes,B
156,MODULE  04: SỬ DỤNG  BẢNG  TÍNH  CƠ BẢN,"Trong MS Excel 2016, để ẩn cột ta có thể thực hiện:",ViewformatHide & Un hideHide columns,FomulasformatHide & UnhideHide columns,DataformatHide & UnhideHide columns,Chọn cột cần ẩn/ Kích chuột phải chọn Hide,D
157,MODULE  04: SỬ DỤNG  BẢNG  TÍNH  CƠ BẢN,"Để giữ cố định hàng được lặp lại qua các trang, ta chọn hàng bên dưới hàng đó và thực hiện: :",View \Freez e Panes,Review \Freeze Panes,Data\Freeze Panes,Page Layout \Freeze Panes,A
158,MODULE  04: SỬ DỤNG  BẢNG  TÍNH  CƠ BẢN,Để đổi tên một sheet ta chọn:,Chuột trái lên tên sheet \Delete,Chuột phải lên sheet \Rename,Chuột phải lên sheet \Insert,Cả ba cách đều sai,B
159,MODULE  04: SỬ DỤNG  BẢNG  TÍNH  CƠ BẢN,Sheet được chèn t hêm vào bảng tính sẽ nằm ở vị trí:,Trước sheet đang mở,Sau sheet đang mở,Trước tất cả các sheet,Phía sau tất cả các sheet,D
160,MODULE  05: SỬ DỤNG  TRÌNH  CHIẾU  CƠ BẢN,Thao tác để di chuyển đến một sheet khác trong cùng một tập tin?,Nhấn phím F5 và số thứ tự của các sheet,Nhấn  phím F2 và số thứ tự của các sheet,Nhấn phím F3 và số thứ tự của các sheet,Nhấn chuột lên tên sheet cần di chuyển đến hoặc nhấn tổ hợp phím Ctrl + PgUp hoặc Ctrl + PgUp,D
161,MODULE  05: SỬ DỤNG  TRÌNH  CHIẾU  CƠ BẢN,"Để một bài thuyết trình đạt hiệu quả cao, chúng ta cần quan tâm tới vấn đề nào đầu tiên ?",Đối tượng nghe bài thuyết trình,Phương pháp thuyết trình,Hình thức thuyết trình,Nắm vững nội dung cần thuyết trình,D
162,MODULE  05: SỬ DỤNG  TRÌNH  CHIẾU  CƠ BẢN,Cấu trúc chung của một bài thuyết trình gồm có bao nhiêu phần ?,1,2,3,4,C
163,MODULE  05: SỬ DỤNG  TRÌNH  CHIẾU  CƠ BẢN,"Trong Powerpoint, phần mở rộng của tên file là nhóm ký tự nào?  0. #NAME!",ppts,ppt,pptx,pptt,C
164,MODULE  05: SỬ DỤNG  TRÌNH  CHIẾU  CƠ BẢN,"Trong  Powerpoint 2016, thoát khỏi chương trình bằng cách?",Nhấn nút Close,Nhấn tổ hợp phím Alt + F4,Tất cả đểu đúng,Vào File/ Close,C
165,MODULE  05: SỬ DỤNG  TRÌNH  CHIẾU  CƠ BẢN,"Để mở chương trình Powerpoint 2016, ta làm thế nào?",Kích đúp chuột trái vào biểu tượng Powerpoint 2016 trên màn hình desktop,Kích chuột phải vào biểu tượng Powerpoint 20106 trên màn hình desktop/Open,Tất cả các đáp án đều đúng,Start/All Programs/Microsoft Office/Powerpoint 2010,C
166,MODULE  05: SỬ DỤNG  TRÌNH  CHIẾU  CƠ BẢN,"Trong  Powerpoint, thanh công cụ truy cập nhanh có tên là?",Quick Access Toolbar,Quick Toolbar Access,Access Quick Toolbar,Toolbar Quick Access,A
167,MODULE  05: SỬ DỤNG  TRÌNH  CHIẾU  CƠ BẢN,"Trong PowerPoint 2016 , thao tác nào sau đây để tùy chọn phần ẩn/hiện của các thanh công cụ ?",Vào File/Options/Customize Ribbon,Vào File/Options/Advanced,Vào File/Options/General,Vào File/Options/Proofing,A
168,MODULE  05: SỬ DỤNG  TRÌNH  CHIẾU  CƠ BẢN,Để truy nhập hệ thống trợ giúp trên PowerPoint sử dụng phím hay tổ hợp phím nào ?,ESC,C t r l  +  H,F1,Alt + Tab,C
169,MODULE  05: SỬ DỤNG  TRÌNH  CHIẾU  CƠ BẢN,"Trong Powerpoint 2016, cách nào để mở 1 bản trình bày (Presentation) có sẵn trong máy tính?",File/Close,File/Edit,File/Open,File/Save,C
170,MODULE  05: SỬ DỤNG  TRÌNH  CHIẾU  CƠ BẢN,"Trong Powerpoint 2016, thao tác File/Op en dùng để làm gì?",Mở 1 bản trình bày (Presentation) có sẵn trong máy tính,Đóng 1 bản trình bày (Presentation) có sẵn trong máy tính,Lưu 1 bản trình bày (Presentation) có sẵn trong máy tính,Xóa 1 bản trình bày (Presentation) có sẵn trong má y tính,A
171,MODULE  05: SỬ DỤNG  TRÌNH  CHIẾU  CƠ BẢN,"Trong Powerpoint 2016, để thoát file hiện hành, ta làm thế nào?",File/Save,File/Open,File/close,File/Edit,C
172,MODULE  05: SỬ DỤNG  TRÌNH  CHIẾU  CƠ BẢN,"Trong  Powerpoint 2016, thao tác File/Close dùng để làm gì?",Lưu file hiện tại,Xóa file hiện tại,Sao chép file hiện  tại,Đóng file hiện tại,D
173,MODULE  05: SỬ DỤNG  TRÌNH  CHIẾU  CƠ BẢN,"Trong  Trong Powerpoint 2016, có 3 file đang mở, thao tác chọn File/Close dùng để làm gì?",Đóng file hiện tại,Thoát khỏi Powerpoint,Đóng Slide hiện tại,Tắt máy tính,A
174,MODULE  05: SỬ DỤNG  TRÌNH  CHIẾU  CƠ BẢN,"Trong Powerpoint 2016, cách nào để tạo một bản trình bày (Presentation) mới?",Insert/New Slide/Create,File/New Presentation/Create,File/New/Blank Presentation/Create,Insert/New/Blank Presentation/Create,C
175,MODULE  05: SỬ DỤNG  TRÌNH  CHIẾU  CƠ BẢN,"Trong Powerpoint 2016, thao tác nào sau đây để tạo mới 1 tập tin trình diễn theo mẫu giao diện (Themes) của chương trình?",Vào File / New / Themes / Chọn mẫu / Create,Vào Home / New / Themes / Chọn mẫu / OK,Vào Home / New / Themes / Chọn mẫu / Create,Vào File / New / Themes / Chọn mẫu / OK,A
176,MODULE  05: SỬ DỤNG  TRÌNH  CHIẾU  CƠ BẢN,"Trong Powerpoint 2016, thao tác nào  sau đây để tạo mới 1 tập tin trình diễn theo mẫu (Sample templates) của chương trình?",Vào Home / New / Sample templates / Chọn mẫu / Create,Vào File / New / Sample templates / Chọn mẫu / Create,Vào Design / New / Sample templates / Chọn mẫu / Create,Vào Insert / New / Sample templates / Chọn mẫu / Create,B
177,MODULE  05: SỬ DỤNG  TRÌNH  CHIẾU  CƠ BẢN,"Trong Powerpoint 2016, để chuyển sang chế độ hiển thị đọc ta thực hiện?","Vào View, chọn Reading Mode","Vào Review, chọn Reading Mode","Vào Review, chọn Reading View","Vào Vi ew, chọn Reading View",D
178,MODULE  05: SỬ DỤNG  TRÌNH  CHIẾU  CƠ BẢN,"Trong Powerpoint 2016, chế độ hiển thị nào cho phép t hực hiện sắp xếp lại các Slide?",View/ Normal,View/ Page Layout,View/ Slide Sorter,View/ Reading View,C
179,MODULE  05: SỬ DỤNG  TRÌNH  CHIẾU  CƠ BẢN,"Trong Powerpoint, tổ hợp phím Shift + F9 được sử dụng để?",Chuyển  sang chế độ đọc,"Bật, hoặc Tắt chế độ khung lưới khi soạn thảo",Tắt chế độ khung lưới khi soạn thảo,Bật chế độ khung lưới khi soạn thảo,B
180,MODULE  05: SỬ DỤNG  TRÌNH  CHIẾU  CƠ BẢN,"Trong  Powerpoint, tổ hợp phím Shift + Alt + F9 được sử dụng để?",Bật thanh thước kẻ,Bật hoặc Tắt thanh thước kẻ,Tắt thanh thước kẻ,Tất cả đều sai,B
181,MODULE  05: SỬ DỤNG  TRÌNH  CHIẾU  CƠ BẢN,"Trong PowerPoint 2016, thao tác nào sau đây dùng để bật, tắt khung lưới Gridlines?",Nhấn tổ hợp phím Shift + F9,Vào View chọn Gridlines,Tất cả đều đúng,Vào Home / Arrange / Align / View Gridlines,C
182,MODULE  05: SỬ DỤNG  TRÌNH  CHIẾU  CƠ BẢN,"Trong Powerpoint 2010, để lưu file, ta làm thế nào?",File/Open,File/Close,File/Edit,File/Save,D
183,MODULE  05: SỬ DỤNG  TRÌNH  CHIẾU  CƠ BẢN,"Trong Powerpoint 2016, thao tác File/Save dùng để làm gì?",Xóa file hiện tại,Sao chép file hiện tại,Đóng file hiện tại,Lưu file hiện tại,D
184,MODULE  05: SỬ DỤNG  TRÌNH  CHIẾU  CƠ BẢN,"Trong Powerpoint 2010, thao tác Ctrl + S dùng để làm gì?",Xóa file hiện tại,Sao chép file hiện tại,Đóng file hiện tại,Lưu file hiện tại,D
185,MODULE  05: SỬ DỤNG  TRÌNH  CHIẾU  CƠ BẢN,"Trong Powerpoint 2016, để chuyển tập tin trình diễn sang dạng video?",File / Save As/ Save As Type/ PowerPoint Presentation,File / Save As/ Save As Type/ Windows Media Video,File / Save As/ Save As Type/ PDF,File / Save As/ Save As Type/ Word,B
186,MODULE  05: SỬ DỤNG  TRÌNH  CHIẾU  CƠ BẢN,"Trong Powerpoint 2016, để đặt mật khẩu cho file hiện tại?",Vào File/Save / Protect Presentation / Encrypt with Password.,Vào File/ Info/ Protect Presentation/ Encrypt with Password.,Vào Home / Info / Protect Presentation / Encrypt with Password.,Vào Home / Save / Protect Presentation / Encrypt with Password.,B
187,MODULE  05: SỬ DỤNG  TRÌNH  CHIẾU  CƠ BẢN,"Trong Powerpoint 2016, chọn phát biểu đúng?",Không cho phép lưu các Slide thành tập tin định dạng hình ảnh JPG,Tổ hợp CTRL + O dùng để tạo thêm 1 trang Slide mới,Lệnh Rehearse Timings dùng để xóa 1 Slide,Cho phép lưu các Slide thành tập tin định dạng văn bản điện tử PDF,D
188,MODULE  05: SỬ DỤNG  TRÌNH  CHIẾU  CƠ BẢN,"Trong PowerPoint 2016, thao tác nào sau đây để thiết lập thư mục lưu trữ mặc định?",File / Option / Save / Default file location.,File / Save / Default file location,Option / Save / Default file location,File / Save / Option / Default file location.,A
189,MODULE  05: SỬ DỤNG  TRÌNH  CHIẾU  CƠ BẢN,"Trong Powerpoint 2016, thao tác File / Option / Save / Default file location dùng để làm gì?",Thiết lập các thông số cho các trang in,Thiết lập thông số cho toàn bộ Slide,Thiết lập thư mục lưu trữ mặc định,Thiết lập theme cho toàn bộ Slide,C
190,MODULE  05: SỬ DỤNG  TRÌNH  CHIẾU  CƠ BẢN,"Trong PowerPoint 2016, thao tác nào sau đây để mở một bài thuyết trình đồng thời trên hai của sổ ?",Vào Review/New Windows,Vào Home/New Windows,Vào View/New Windows,Vào Data/New Windows,C
191,MODULE  05: SỬ DỤNG  TRÌNH  CHIẾU  CƠ BẢN,Mỗi trang trình diễn trong Powerpoint được gọi là?,Một Slide,Một Page,Một Sheet,Một Cơ sở dữ liệu,A
192,MODULE  05: SỬ DỤNG  TRÌNH  CHIẾU  CƠ BẢN,"Trong Powerpoint 2016, để hủy bỏ thao tác vừa thực hiện, ta ấn tổ hợp phím?",Ctrl + Z,Ctrl + F5,Ctrl + A,Ctrl + X,A
193,MODULE  05: SỬ DỤNG  TRÌNH  CHIẾU  CƠ BẢN,"Trong chương trình MS PowerPoint, chức năng Design/Themes dùng để làm gì?",Định dạng hiệu ứng lật trang,Định đạng hiệu ứng cho các đối tượng trên slide,Định dạng kiểu chữ cho slide,Định dạng giao diện của slide,D
194,MODULE  05: SỬ DỤNG  TRÌNH  CHIẾU  CƠ BẢN,"Trong Powerpoint 2016, cách nào để lựa chọn bố cục cho Slide?",Format /Slide Design,Insert/New Slide,Home/New Slide,Home/Layout,D
195,MODULE  05: SỬ DỤNG  TRÌNH  CHIẾU  CƠ BẢN,"Trong Powerpoint 2016, cách nào để thêm 1 Slide mới?",Kích chuột phải vào Slide/New Slide,Kích chuột phải vào Slide/Copy,Kích chuột phải vào Slide/Copy,Kích chuột phải vào Slide/Delete,A
196,MODULE  05: SỬ DỤNG  TRÌNH  CHIẾU  CƠ BẢN,"Trong Powerpoint 2016, cách nào sau đây cho phép định dạng chung cho toàn bộ các Slide?",View/Notes Page,View/Normal,View/Slide Sorter,View/Slide Master,D
197,MODULE  05: SỬ DỤNG  TRÌNH  CHIẾU  CƠ BẢN,"Trong Powerpoint 2016, cách nào để lựa chọn bố cục cho Slide đã chọn gồm tiêu đề và nội dung?  :",Home/Layout/Title and Content,Home/Layout/Title Slide,Home/Slide Design,Home/Layout/Title Slide,A
198,MODULE  05: SỬ DỤNG  TRÌNH  CHIẾU  CƠ BẢN,"Trong PowerPoint 2016, mẫu bố cục (Layout) Two Content có bao nhiêu placeholder?",3,2,4,5,A
199,MODULE  05: SỬ DỤNG  TRÌNH  CHIẾU  CƠ BẢN,"Trong PowerPoint 2016, mẫu bố c ục (Layout) Comparison có bao nhiêu placeholder?",2,5,3,4,B
200,MODULE  06: SỬ DỤNG  INTERNET  CƠ BẢN,"Trong PowerPoint 2016, mẫu bố cục (Layout) Picture with Caption có bao nhiêu placeholder cho phép nhập văn bản?  :\",1,2,3,4,B
201,MODULE  06: SỬ DỤNG  INTERNET  CƠ BẢN,Internet có nghĩa là?,Hệ thống thông tin toàn cầu có thể được truy nhập công cộng gồm các máy tính được liên kết với nhau,Hệ thống thông tin toàn cầu có thể được truy nhập công cộng gồm các mạng máy tính trong một cơ quan được liên kết với nhau,Hệ thống thông tin toàn cầu có thể được truy nhập công cộng gồm các mạng máy tính được liên kết với nhau,Hệ thống thông tin toàn cầu có thể được truy nhập công cộng gồm các mạng máy tính trong một quốc gia được liên kết với nhau,C
202,MODULE  06: SỬ DỤNG  INTERNET  CƠ BẢN,Phát biểu nào sau đây là sai?,WWW là từ viết tắt của World Wide Web,Chúng ta có thể đăng ký để sử dụng thư miễn phí tại địa chỉ MAIL.YAHOO.COM,Internet là dịch vụ do công ty Internet tại Mỹ điều hành và thu phí,Thư điện tử là nền tảng cho việc xây dựng văn phòng không giấy tờ,C
203,MODULE  06: SỬ DỤNG  INTERNET  CƠ BẢN,Thứ tự kết nối Internet theo đường quay số theo bạn là?,Máy tính - điện thoại - modem - ISP (Internet Service Provider),Máy tính - ISP - điện thoại - modem,Máy tính - modem - điện thoại - ISP,Máy tính - điện thoại - ISP - modem,C
204,MODULE  06: SỬ DỤNG  INTERNET  CƠ BẢN,ISP là viết tắt của,Internet Service Provider,Internet Server Provider,Internet Super Provider,Không có phương án đúng,A
205,MODULE  06: SỬ DỤNG  INTERNET  CƠ BẢN,WWW là viết tắt của?,Word Wide Wed,Word Wide Website,Word Wild Web,World Wide Web,D
206,MODULE  06: SỬ DỤNG  INTERNET  CƠ BẢN,Mỗi thiết bị khi tham gia vào một mạng máy tính nào đó cũng đều có,Địa chỉ IP,Địa chỉ nhà,Mã sản phẩm,GPS,A
207,MODULE  06: SỬ DỤNG  INTERNET  CƠ BẢN,HTTP là gì?,Là giao thức truyền tải siêu văn bản,Là ngôn ngữ để soạn thảo nội dung các trang Web,Là tên của trang web,Là địa chỉ của trang Web,A
208,MODULE  06: SỬ DỤNG  INTERNET  CƠ BẢN,Địa chỉ nào không phải là địa chỉ trang web?,ninhbinh@yahoo.com,www.laodong.com.vn,ngoisao.net,mail.yahoo.com,A
209,MODULE  06: SỬ DỤNG  INTERNET  CƠ BẢN,Đâu là định nghĩa đúng nhất về trang Web?,Là trang văn bản thông thường,"Là trang siêu văn bản phối hợp giữa văn bản thông thường với hình ảnh, âm thanh, video và cả các mối liên kết đến các trang siêu văn bản khác",Là trang văn bản chứa các liên kết cơ sở dữ liệu ở bên trong nó,"Là trang văn bản chứa văn bản, hình ảnh",B
210,MODULE  06: SỬ DỤNG  INTERNET  CƠ BẢN,"""Link"" trên trang web có nghĩa là?",Liên kết đến 1 trang web khác,Liên kết đến 1 liên kết khác,Liên kết,Tất cả đều đúng,B
211,MODULE  06: SỬ DỤNG  INTERNET  CƠ BẢN,Đây là cụm từ viết tắt của địa chỉ tài nguyên trên Internet?,URL (Universe Resource Internet),URL (Uniform Resource Location),URL (Uniform Resource Locator),Tất cả các đáp án đều đúng,C
212,MODULE  06: SỬ DỤNG  INTERNET  CƠ BẢN,Đâu là định nghĩa siêu liên kết?,Dùng liên kết các tài nguyên trên Internet qua các đường link trên trang Web,Dùng tải các ứng dụng trên Internet xuống,Dùng liên kết với các tài liệu trên Internet,Dùng liên kết các đường dẫn trong một website,A
213,MODULE  06: SỬ DỤNG  INTERNET  CƠ BẢN,Thuật ngữ nào dùng để chỉ các trang tin tức trên mạng?,Website,Trình duyệt Web,Tên miền .net,Webserver,A
214,MODULE  06: SỬ DỤNG  INTERNET  CƠ BẢN,Internet Explorer là gì?,Trình duyệt web,1 chuẩn mạng cục bộ,Bộ giao thức,Thiết bị kết nối các mạng trên Internet,A
215,MODULE  06: SỬ DỤNG  INTERNET  CƠ BẢN,Mozilla Firefox là gì?,Trình duyệt web,1 chuẩn mạng cục bộ,Bộ giao thức,Thiết bị kết nối các mạng trên Internet,A
